	geneID	chrom	strand	start	CAT_geneClass	FDmean	TSS2kFD	TSSFD	TSSvar	PseudoVarFD	TSS2kFD_scaled	TSSFD_scaled	TSSvar_scaled	PseudoVarFD_scaled	pseudoVarPlus1	pseudoVarPlus1_scaled	TSS2kRATIO
0	CATG00000000027.1	10	-	71771346	lncRNA_intergenic	50.132886711328865	51.9400299850075	43.14427860696517	42.93407960199005	24.0	0.1898077805454413	-0.7340271390965255	0.4736363414150606	2.520766794681549	50.0	2.8249047994613647	1.0360470619632254
1	CATG00000000029.1	10	-	71779228	lncRNA_intergenic	49.05919408059194	49.899550224887555	42.74626865671642	5.290298507462687	12.0	0.07569382493772815	-0.5686273362802629	0.042921444474034454	1.0808820873498917	31.0	1.8811886310577393	1.017129432312221
2	CATG00000000056.1	10	-	72765515	lncRNA_intergenic	45.55574442555744	43.174412793603196	32.77114427860697	8.607363184079603	12.0	-0.2575814680441626	-1.3828717072804768	0.10070699100769656	1.2980039715766907	34.0	2.220805823802948	0.9477270833353283
3	CATG00000000072.1	10	-	73137246	lncRNA_intergenic	34.631936806319366	25.587706146926536	12.049751243781095	7.0275124378109455	15.0	-1.0131669912127959	-2.529736988580049	0.08819021440944534	1.6803535223007202	38.0	2.846873924136162	0.7388471020268635
4	CATG00000000083.1	10	-	73620521	lncRNA_intergenic	33.56164383561644	28.73663168415792	27.845771144278608	5.711094527363184	11.0	-0.6027554742869051	-0.7140445311678879	0.08912608725725704	1.3741540871560574	38.0	2.8246384263038635	0.856234331813685
5	CATG00000000084.1	10	-	73638308	lncRNA_intergenic	34.796020397960206	30.90054972513743	28.935323383084576	83.7107960199005	30.0	-0.561428404127856	-0.8446634758300894	1.7388029453613072	4.323701560497284	58.0	4.768992900848389	0.8880483851811073
6	CATG00000000086.1	10	-	73648870	lncRNA_intergenic	28.923707629237075	21.65367316341829	10.756218905472636	1.255273631840796	5.0	-0.7704863140070024	-1.9254105945131672	0.014099224659140848	0.5299054384231567	27.0	2.057858794927597	0.7486479064506244
7	CATG00000000088.1	10	-	73679251	lncRNA_intergenic	43.34466553344666	42.206896551724135	37.30348258706468	18.132437810945273	17.0	-0.13878743973063087	-0.7369161130332235	0.26980396105552806	2.0736954659223557	37.0	2.4963287711143494	0.9737506572557454
8	CATG00000000096.1	10	-	74008738	lncRNA_intergenic	36.66093390660934	28.022988505747126	23.243781094527364	29.505273631840797	19.0	-0.9738967211573556	-1.5127348629989434	0.3750632816458569	2.1421805024147034	44.0	2.978595495223999	0.764382832612321
9	CATG00000000100.1	10	-	74014943	lncRNA_intergenic	34.757924207579244	33.9400299850075	25.4726368159204	33.22049751243781	19.0	-0.10558855418173567	-1.1987125344240843	0.5536630281438417	2.4528630673885345	31.0	2.56508731842041	0.9764688415312961
